Year,Region,Party,Alignment,Votes %,Votes N
2003,Friesland,SGP,Right-Wing,0.45,1819
2003,Friesland,PvdD,Left-Wing,0.38,1525
2003,Friesland,50PLUS,Centre,NA,NA
2006,Friesland,VVD,Centre-Right,10.58,42939
2006,Friesland,PvdA,Centre-Left,27.52,111627
2006,Friesland,PVV,Right-Wing,3.26,13244
2006,Friesland,SP,Left-Wing,17.07,69257
2006,Friesland,CDA,Centre,28.14,114152
2006,Friesland,D66,Centre,1.06,4302
2006,Friesland,CU,Centre,6.11,24790
2006,Friesland,GL,Left-Wing,3.78,15340
2006,Friesland,SGP,Right-Wing,0.44,1781
2006,Friesland,PvdD,Left-Wing,1.32,5373
2006,Friesland,50PLUS,Centre,NA,NA
2010,Friesland,VVD,Centre-Right,15.48,59139
2010,Friesland,PvdA,Centre-Left,24.8,94728
2010,Friesland,PVV,Right-Wing,11.37,43416
2010,Friesland,SP,Left-Wing,11.49,43868
2010,Friesland,CDA,Centre,18.17,69394
2010,Friesland,D66,Centre,4.72,18025
2010,Friesland,CU,Centre,5.11,19507
2010,Friesland,GL,Left-Wing,6.25,23866
2010,Friesland,SGP,Right-Wing,0.57,2195
2010,Friesland,PvdD,Left-Wing,1.09,4151
2010,Friesland,50PLUS,Centre,NA,NA
2012,Friesland,VVD,Centre-Right,19.89,76273
2012,Friesland,PvdA,Centre-Left,33.12,126995
2012,Friesland,PVV,Right-Wing,7.32,28071
2012,Friesland,SP,Left-Wing,9.55,36602
2012,Friesland,CDA,Centre,13.82,53004
2012,Friesland,D66,Centre,5.14,19690
2012,Friesland,CU,Centre,4.87,18673
2012,Friesland,GL,Left-Wing,1.74,6660
2012,Friesland,SGP,Right-Wing,0.9,3455
2012,Friesland,PvdD,Left-Wing,1.57,6006
2012,Friesland,50PLUS,Centre,1.15,4392
1994,Drenthe,VVD,Centre-Right,18.25,51894
1994,Drenthe,PvdA,Centre-Left,34.51,98157
1994,Drenthe,PVV,Right-Wing,NA,NA
1994,Drenthe,SP,Left-Wing,0.97,2745
1994,Drenthe,CDA,Centre,19.81,56353
1994,Drenthe,D66,Centre,13.93,39612
1994,Drenthe,CU,Centre,NA,NA
1994,Drenthe,GL,Left-Wing,2.49,7071
1994,Drenthe,SGP,Right-Wing,0.24,687
